"","ID","canonisation_score","avg_differences","lang","wikiname","variations","author","author_firstname","wikiID","freq","repoID","pub_year","genre","text_source"
"1","A_CHILD_OF_THE_JAGO_Q4655860",0.325982643945805,0.24637018535545,"ENG","A_CHILD_OF_THE_JAGO","['A Child of the Jago', 'Child of the Jago']","Morrison","Arthur","Q4655860",5,"36958",1896,"([], ['novel'])","Gutenberg-US"
"2","A_CHRISTMAS_CAROL_Q62879",0.384640372733741,0.121784393838863,"ENG","A_CHRISTMAS_CAROL","['A Christmas Carol', 'A Christmas Carol Scrooge', 'Between A Christmas Carol']","Dickens","Charles","Q62879",10,"30368",1843,"(['Christmas fiction', 'novella'], ['novella'])","Gutenberg-US"
"3","A_DRAMA_IN_MUSLIN_noWikiID",0.142891468333576,0.116679838909953,"ENG","A_DRAMA_IN_MUSLIN","['A Drama in Muslin']","Moore","George","noWikiID",17,"14659",1886,"","Gutenberg-US"
"4","A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399",0.148487553986026,0.125440321658768,"ENG","A_JOURNAL_OF_THE_PLAGUE_YEAR","['Journal of the Plague Year', 'A Journal of the Plague Year']","Defoe","Daniel","Q1215399",10,"376",1722,"(['epistolary novel', 'historical novel'], [])","Gutenberg-US"
"5","A_MODEST_PROPOSAL_Q264143",0.137472234822425,0.363290520576777,"ENG","A_MODEST_PROPOSAL","['A Modest Proposal']","Swift","Jonathan","Q264143",12,"1080",1729,"(['essay', 'polemical lampoon'], [])","Gutenberg-US"
"6","A_PAIR_OF_BLUE_EYES_Q2931240",0.160221548263055,0.120371728009479,"ENG","A_PAIR_OF_BLUE_EYES","['A Pair of Blue Eyes']","Hardy","Thomas","Q2931240",6,"224",1873,"([], ['novel'])","Gutenberg-US"
"7","A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792",0.172694745758032,0.192163987156398,"ENG","A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY","['A Sentimental Journey', 'Sentimental Journey', 'A Sentimental Journey through France and Italy', 'A Sentimental Journey through France and Italy, By', 'A Sentimental Journey through France and Italy by Mr. Yorick']","Sterne","Laurence","Q768792",14,"804",1768,"(['imaginary voyage'], ['novel'])","Gutenberg-US"
"8","A_SICILIAN_ROMANCE_Q979649",0.395337204568379,0.153305320236967,"ENG","A_SICILIAN_ROMANCE","['A Sicilian Romance']","Radcliffe","Ann","Q979649",10,"7371",1790,"(['Gothic fiction'], ['novel'])","Gutenberg-US"
"9","A_STUDY_IN_SCARLET_Q223131",0.137472234822425,0.109717965592417,"ENG","A_STUDY_IN_SCARLET","['A Study in Scarlet', 'The Study in Scarlet']","Doyle","Arthur Conan","Q223131",8,"244",1887,"(['detective fiction', 'mystery fiction', 'crime fiction'], ['novel'])","Gutenberg-US"
"10","A_TALE_OF_A_TUB_Q2353123",0.316181109886472,0.181221166492891,"ENG","A_TALE_OF_A_TUB","['A Tale of a Tub', 'Tale of a Tub', 'A Tale of A Tub', 'A Tale of Tub']","Swift","Jonathan","Q2353123",18,"4737",1704,"prose satire","Gutenberg-US"
"11","A_TALE_OF_TWO_CITIES_Q308918",0.142891468333576,0.0890042622748815,"ENG","A_TALE_OF_TWO_CITIES","['A Tale of Two Cities', 'Tale of Two Cities']","Dickens","Charles","Q308918",23,"98",1859,"(['historical fiction', 'social problem fiction'], ['novel'])","Gutenberg-US"
"12","ADAM_BEDE_Q2611046",0.158330619297716,0.118278759146919,"ENG","ADAM_BEDE","['Adam Bede']","Eliot","George","Q2611046",44,"507",1859,"(['historical novel'], ['novel'])","Gutenberg-US"
"13","AFTER_DARK_noWikiID",0.374053924716987,0.131563110379147,"ENG","AFTER_DARK","['After Dark']","Collins","Wilkie","noWikiID",5,"1626",1856,"short stories","Gutenberg-US"
"14","AGNES_GREY_Q517172",0.207211382680442,0.0760636924170616,"ENG","AGNES_GREY","['Agnes Grey', 'Agnes Greyish']","Brontë","Anne","Q517172",26,"767",1847,"(['novel'], ['novel'])","Gutenberg-US"
"15","ALICE'S_ADVENTURES_IN_WONDERLAND_Q92640",0.374053924716987,0.263400068293839,"ENG","ALICE'S_ADVENTURES_IN_WONDERLAND","['Alice in Wonderland', ""Alice's Adventures in Wonderland"", 'Alice? Wonderland']","Carroll","Lewis","Q92640",11,"https://en.wikisource.org/wiki/Alice%27s_Adventures_Under_Ground/Chapter_1",1865,"([""children's novel"", 'fairy tale', 'literary nonsense'], ['novel'])","Gutenberg-US"
"16","ALLAN_QUATERMAIN_(NOVEL)_Q4062545",0.172694745758032,0.123476523052133,"ENG","ALLAN_QUATERMAIN_(NOVEL)","['Allan Quatermain', 'When Allan Quatermain']","Haggard","H. Rider","Q4062545",7,"711",1887,"(['adventure novel'], [])","Gutenberg-US"
"17","ALTON_LOCKE_Q4736895",0.332981899154278,0.0863919420379147,"ENG","ALTON_LOCKE","['Alton Locke']","Kingsley","Charles","Q4736895",8,"8374",1850,"([], ['novel'])","Gutenberg-US"
"18","AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS_Q2743569",0.353247063375283,0.321828255118484,"ENG","AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS","['Shamela', 'In Shamela', 'An Apology for the Life of Mrs Shamela']","Fielding","Henry","Q2743569",6,"30962",1741,"(['parody', 'epistolary novel'], [])","Gutenberg-US"
"19","ANN_VERONICA_Q1247736",0.190637850864638,0.15253559571564,"ENG","ANN_VERONICA","['Ann Veronica']","Wells","H. G.","Q1247736",10,"524",1909,"(['feminist novel'], [])","Gutenberg-US"
"20","ANNALS_OF_THE_PARISH_Q4767877",0.185923994154683,0.133171330094787,"ENG","ANNALS_OF_THE_PARISH","['Annals of the Parish', 'The Annals of the Parish']","Galt","John","Q4767877",12,"1310",1821,"([], ['novel'])","Gutenberg-US"
"21","ARMADALE_Q4792516",0.46129393099787,0.104042593459716,"ENG","ARMADALE","['Armadale']","Collins","Wilkie","Q4792516",12,"1895",1864,"novel","Gutenberg-US"
"22","AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593",0.517417033796863,0.156280161516588,"ENG","AT_THE_BACK_OF_THE_NORTH_WIND","['At the Back of the North Wind']","MacDonald","George","Q1619593",6,"225",1871,"(['fantasy', ""children's fiction""], ['novel'])","Gutenberg-US"
"23","AURORA_FLOYD_Q4822530",0.733799591996489,0.0894049210900474,"ENG","AURORA_FLOYD","['Aurora Floyd']","Braddon","Mary Elizabeth","Q4822530",25,"https://docsouth.unc.edu/imls/braddon/braddon.html",1863,"([], ['novel'])","https://docsouth.unc.edu"
"24","AYESHA_(NOVEL)_Q2604590",0.132226821715085,0.138266548530806,"ENG","AYESHA_(NOVEL)","['Ayesha']","Haggard","H. Rider","Q2604590",7,"5228",1905,"(['adventure novel', 'lost world fiction', 'Gothic novel'], [])","Gutenberg-US"
"25","BELINDA_noWikiID",0.384640372733741,0.0858482102843602,"ENG","BELINDA","['Belinda']","Edgeworth","Maria","noWikiID",11,"9455",1801,"novel","Gutenberg-US"
"26","BLACK_BEAUTY_Q880092",0.363586690277014,0.183979789952606,"ENG","BLACK_BEAUTY","['Black Beauty']","Sewell","Anna","Q880092",9,"271",1877,"(['young adult literature'], ['novel'])","Gutenberg-US"
"27","BLEAK_HOUSE_Q883305",0.958008839727505,0.144715424691943,"ENG","BLEAK_HOUSE","['Bleak House']","Dickens","Charles","Q883305",91,"1023",1852,"([], ['novel'])","Gutenberg-US"
