title;Athenaeum
A Bas Voltaire! - Vade-Mecum du Chretien 2078 (August 24,1867);1
A Dora d'Istria gli Albanesi 2288 (September 2,1871);1
The Aarbergs 1940 (December 31,1864);1
Ab Ithel: an Account of the Life and Writings of the Rev. John Williams Ab Ithel 2276 (June 10,1871);1
"The Abbe Parini; and Lombardy in the Last Century 1637 (March 12,1859)";1
Abbeokuta 1342 (July 16,1853);1
"The Abbess: a Romance; by the author of the ""Domestic Manners of the Americans"" 291 (May 25,1833)";1
The Abbess of Shaftsburry 981 (August 15,1846);1
The Abbess 291 (May 25,1833);1
Abbey Lands: a Tale 1558 (September 5,1857);1
The Abbey 1561 (September 26,1857);1
Abbeys and Attics 1791 (February 22,1862);1
Abbeys, Castles and Ancient Halls in England and Wales 2241 (October 8,1870);1
Abbots Cleve 1930 (October 22,1864);1
Abbots Thorpe 1926 (September 24,1864);1
Abbotsford and Sir Walter Scott. 1345 (August 6,1853);1
Abbotsmere 978 (July 25,1846);1
The ABC of Thought 1787 (January 25,1862);1
Abd-el-Kader 1236 (July 5,1851);1
Abdul Medjid 1434 (April 21,1855);1
Abel Drake's Wife 1798 (April 12,1862);1
Abel Massinger 976 (July 11,1846);1
The Abendberg 1116 (March 17,1849);1
Abeokuta and the Camaroons Mountains: an Exploration 1889 (January 9,1864);1
The Abolition of Slavery 1767 (September 7,1861);1
The Aboriginal Tribes of the Nilgiri Hills 2287 (August 26,1871);1
About London 1706 (July 7,1860);1
About Railways 2003 (March 17,1866);1
Above her Station 1677 (December 17,1859);1
Above Rubies 1923 (September 3,1864);1
Abraham Aben Ezra's Commentary on the Book of Esther 1163 (February 9,1850);1
Abraham Page, Esq. 2234 (August 20,1870);1
An Abridgment of Zumpt's Latin Grammar 160 (November 20,1830);1
Abstract Log, for the Use of American Navigations 1132 (July 7,1849);1
Abyssinia and its Apostle 2118 (May 30,1868);1
Abyssinia and its People 2092 (November 30,1867);1
Abyssinia: its Past, Present, and Probable Future 2009 (April 28,1866);1
The Abyssinian War from an Abyssinian Point of View 2117 (May 23,1868);1
Academic Reform and University Representation 1713 (August 25,1860);1
Acadia 1664 (September 17,1859);1
Acadian Geology. Second edition 2121 (June 20,1868);1
Acadian Geology 1470 (December 29,1855);1
An Accentuated List of British Lepidoptera 1668 (October 15,1859);1
Accessible Field Sports 2197 (December 4,1869);1
The Accession of Nicholas I 1569 (November 21,1857);1
The Accession of the Emperor Nicholas I 1561 (September 26,1857);1
The Accordance of Religion with Nature 773 (August 20,1842);1
An Account of a Method of Etching or Engraving 1099 (November 18,1848);1
Account of a New Anaesthetic Agent 1048 (November 27,1847);1
Account of Andrew Yarranton 1420 (January 13,1855);1
An Account of Askern and its Mineral Springs 776 (September 10,1842);1
An Account of Church Bells 1573 (December 19,1857);1
Account of England about the Year 1500 1010 (March 6,1847);1
An Account of His Majesty's Mission to Persia in 1807 - 1811 338 (April 19,1834);1
An Account of M. Jacotot's Method of Universal Instruction 146 (August 14,1830);1
Account of Measurement of Two Sections of the Meridional Arc of India 1035 (August 28,1847);1
Account of Some recent Improvements in the System of Navigating the Ganges by Iron Steam Vessels 1133 (July 14,1849);1
An Account of the Aurora Borealis seen near Cambridge, October 24, 1837 1067 (April 8,1848);1
An Account of the Caves of Ballybunian 333 (March 15,1834);1
An Account of the Churches visited during the Lincoln Excursion of the Architectural Association 2291 (September 23,1871);1
Account of the Collegiate Church of St. Peter, Wolverhampton 1965 (June 24,1865);1
An Account of the Construction of the Britannia and Conway Tubular Bridges, with a complete History of their Progress 1198 (October 12,1850);1
An Account of the Cruise of the St. George on the North American and West Indian Station, during the years 1861 - 1862 1 819 (September 6,1862);1
An Account of the Cultivation and Manufacture of Tea in China 1058 (February 5,1848);1
An Account of the Danes and Norwegians in England, Scotland, and Ireland 1265 (January 24,1852);1
An Account of the Grand Court of Shepway, Holden 1799 (April 19,1862);1
An Account of the Great Floods of August, 1829, in the Province of Moray, and adjoining Districts. Second notice 145 (Augus t 7,1830);1
An Account of the Great Floods of August 1829 in the Province of Moray and adjoining Districts 144 (July 31,1830);1
An Account of the History and Manufacture of Ancient and Modern Terra Cotta 1444 (June 30,1855);1
An Account of the Infancy, Religious, and Literary Life of Adam Clarke. Volume I 276 (February 9,1833);1
