ID;Year;Author Ed.;Author;Translator;Short Title;Title;Publisher;Format;Review Reference;Catalogue Numbers;Notes;Further Editions
1770_1;1770;ANON.;ANON.;;CONSTANTIA;"CONSTANTIA; OR THE DISTRESSED FRIEND. A NOVEL.";London: Printed for W. Johnston, Numb. 16. in Ludgate-street, 1770.;272p. 12mo. 3s (CR, MR).;"CR 29: 364-6 (May 1770); MR 43: 152 (Aug 1770); AF I: 494.";"C 7720.d.1002; ESTC tl65381 (BI 0).";'An Allegorical, Moral, Dramatic, Musical Entertainment. By Way of Epithalamium' pp. [265]-72. Epistolary.;Dublin, 1769/ 1770 (Printed for the author by Dillon Chamberlaine, 2 vols. in 1, 12mo), ESTC n005320. ESTC says vol. 2 is dated 1769.
1770_2;1770;ANON.;ANON.;;THE DISTRESSED DAUGHTER;"THE DISTRESSED DAUGHTER: OR, THE HAPPY RECONCILIATION; A NOVEL.";London: Printed for G. Riley, and A. Cooke, at their Circulating Library, Queen Street, Berkley [sic] Square, 1770.;300p. 12mo. 2s 6d sewed (LC) .;;"BL RB 23a.8682; ESTC t224 7 59.";"BL copy lacks several leaves; in original blue boards. Adv. LC 29: 16 (1-3 Jan 1771).";
1770_3;1770;ANON.;ANON.;;FATAL FRIENDSHIP;"FATAL FRIENDSHIP; A NOVEL .. IN TWO VOLUMES. BY A LADY.";London: Printed for T. Lowndes, at No. 77, in Fleet-Street, 1770.;"I 252p; II 239p. 12mo. Ss (CR), Ss sewed (MR).";"CR 30: 397 (Nov 1770); MR 42: 488 (June 1770); AF I: 852.";"BL l2614.ff.13; EM 191: 4; ESTC tl07804.";"Epistolary. 10 pp. advs. end vol. 2. . KM 4817: Printing completed by Bowyer 17 Mar 1770; 750 copies. Extract published LC 27: 396 (24-26 Apr 1770). . Furtheredn: Dublin, 1771 (Printed for H. Saunders, D. Chamberlame, J. Potts. W. Sleater, J. Williams, and 3 others, 2 vols., 12mo), ESTC t212490. Faes: FN. . .";
1770_5;1770;ANON.;ANON.;;THE FORTUNATE BLUE-COAT BOY;"THE FORTUNATE BLUE-COAT BOY: OR, MEMOIRS OF THE LIFE AND HAPPY ADVENTURES OF MR. BENJAMIN TEMPLEMAN; FORMERLY A SCHOLAR IN CHRIST'S-HOSPITAL. BY AN ORPHANOTROPHIAN. IN TWO VOLUMES.";London: Printed for J. Cooke, at No. 17, in Pater-noster-Row, 1770 [vol. 2: Pater-Noster-Row].;"I viii, 228p; II 218p. 12mo. 6s (CR, MR), Ss sewed or 6s neatly bound (LC).";"CR 29: 149-50 (Feb 1770); MR42: 71-2 (Jan 1770); AF I: 944.";"BLC.175.bb.2; EM 7449: 5; ESTC tl32228 (NACtY-BR, MH-H).";"8 pp. 'Notes' end vol. l; 2 pp. 'Notes' end vol. 2. Adv., 'In a few Days will be published', LC 26: 559 (7-9 Dec 1769); adv. as published LC 26: 576 (12-14 Dec 1769).";London, 1789, ESTC n047887. C~: 'As this extraordinary history contains chiefly the insignificant transactions of the hospital, and the empty, very often illiberal, conversation of the nurse, the steward, the porter, the boys, the widow Ge_tall's serva~ts, Jack the vintner, &c. &c. it cannot afford any entertainment to readers of a higher class.
1770_6;1770;ANON.;ANON.;;THE GENUINE MEMOIRS OF MISS FAULKNER;"THE GENUINE MEMOIRS OF MISS FAULKNER; OTHERWISE MRS. D***L**N OR COUNTESS OF H*****X, IN EXPECTANCY. CONTAINING THE AMOURS AND INTRIGUES OF SEVERAL PERSONS OF HIGH DISTINCTION, AND REMARKABLE CHARACTERS: WITH SOME CURIOUS POLITICAL ANECDOTES, NEVER BEFORE PUBLISHED.";London: Printed for William Bingley, at No. 31, in Newgate-Street, 1770.;338p. 12mo. 3s (CR), 3s sewed (MR, LC).;"CR 30: 240 (Sept 1770); MR 42: 251 (Mar 1770); AF I: 1055.";"BL G.14249; EM 7: 3; ESTC t073915 (BI C, O; NA CtY, CSmH, IU, MH-H, NjP, PU &c.).";Adv., 'In a Neat Pocket Volume', LC 27: 180 (20-22 Feb 1770).;
1770_7;1770;ANON.;ANON.;;THE HISTORY OF MISS HARRIOT MONTAGUE;THE HISTORY OF MISS HARRIOT MONTAGUE. IN TWO VOLUMES.;London: Printed for J. Roson, No. 54, St. Martin's-Le Grand, near Newgate-Street, 1770.;"I 208p; II 204p. 12mo. 6s (CR), 5s (MR).";"CR29: 149 (Feb 1770); MR42: 250-1 (Mar 1770).";"PU Singer-Mend PR.329 l.Al.H6315.1770; ESTC n007882.";"Imprint date in vol. 1 is misprinted as MDCCLX. 4 pp. advs. end vol. 2. CG records as 'The Inhuman Stepmother; or, The History of Miss Harriot Montague•.";Dublin, 1770 (Printed for T. Todd, 2 vols. in 1, 12mo ), xESTC.
1770_8;1770;ANON.;ANON.;;THE HISTORY OF MR;THE HISTORY OF MR. CHARLES FITZGERALD, AND MISS SARAH STAPLETON. IN FIVE BOOKS.;Dublin: Printed by James Hoey, Jun. at the Mercury in Parliament-Street, 1770.;258p.12mo.;;"CHib.8.770.3; ESTCn007818 (BID; NA CtY-BR, PU).";ESTC: Sometimes attributed to Daniel Marley. Both c and PU copies have lost pp. 1-2. Newt.p. on p. [175] announcing 'Fugitive Pieces By The Auth~r of the Preceding Memoirs', Dublin: Printed in the Year 1770. Pp. [ 175 J-258: verse, comprising TheBachelornos. 157, 172, 185,190,212,271,284,291,465.;
1770_9;1770;ANON.;ANON.;;THE HISTORY OF SIR CHARLES DORMER AND MISS HARRIET VILLARS;THE HISTORY OF SIR CHARLES DORMER AND MISS HARRIET VILLARS: IN WHICH ARE EXEMPLIFIED, FROM A LATE CATASTROPHE IN REAL LIFE, THE CONTRAST OF VIRTUE AND 'VICE, AND THE DANGEROUS AND FATAL CONSEQUENCES ARISING FROM CONFIDANTS AND INTERMEDDLARS IN FAMILY AFFAIRS. BY A LADY.;London: Printed for J. Roson, No. 54. St. Martin's le Grand, l 770.;"I iii, 19lp; II 224p. 12mo. 6s (CR), Ss sewed (MR), Ss sewed or 6s bound (adv).";"CR 30: 302-5 (Oct 1770); MR42: 489 (June 1770);AF I: 1281.";"CtY-Walpole 53.A2.770H; xESTC.";Epistolary. Adv. end vol. 3 of The Noble Lovers (1772: 19).;
1770_10;1770;ANON.;ANON.;;LETTERS BETWEEN AN ENGLISH LADY AND HER FRIEND AT PARIS;LETTERS BETWEEN AN ENGLISH LADY AND HER FRIEND AT PARIS. IN WHICH ARE CONTAINED, THE MEMOIRS OF MRS. WILLIAMS. BY A LADY. IN TWO VOLUMES.;London: Printed for T. Becket and P.A. De Hondt, in the Strand, 1770.;"I vi, 241 p; II 287p. 8vo. 6s ( CR), Ss sewed (MR, LC).";"CR 29: 294-9 (Apr 1770);MR42: 330 (Apr 1770);AF I: 1608.";"BL 244.g.23; EM 5898: 7; ESTC t146241 (BI E; NA CtY, DLC, NjP &c.). No_tes. By same author as Anecdotes of a Convent(l 771: 3). E~1stolaiy. The Letters are between the fictitious Mrs Charlotte Williams and Mademoiselle D Angeville. Adv., 'In a few Days will be published', LC 27: 239 (8-10 Mar 1770). Further edns: Dublin, 1770 (Printed for J. Williams, J. Porter, R. Moncrieffe and r. Walker, 2 vols., 12mo), ESTC n034179; London, 1771, EM 136: 2, ESTC t066909. Serialized as 'Memoirs of Mrs Williams', Universal Magazine, 1770, RM 884. French trans. Amsterdam, 1770 (Lettres d'une dame angloise et de son amie a Paris) (BGR); German trans. Leipzig, 1770 (Geschichteder Frau Williams) (Price).";;
1770_11;1770;ANON.;ANON.;;LIFE;LIFE, ADVENTURES AND AMOURS OF SIR RP WHO SO RECENTLY HAD THE HONOUR TO PRESENT THE F--ADDRESS AT THE ENGLISH COURT.;London: Printed and Sold by J. Brough, in the Strand, near Temple Bar, 1770.;iv, 70p. 8vo. ls 6d (CR, MR).;"CR 29: 237 (Mar 1770); MR 42: 251 (Mar 1770); AF I: 1627.";"BL 1419.e.27; EM 7021: 12; ESTC t065764 (BI E, LVu, MRu;NACtY,CLU-S/C,CSmH &c.).";Sir R P = Sir Richard Perrot. F--= Flintshire. Dedication to 'His G-the D- ofG-'. 2 pp. advs. end vol. Extract published LC 27: 223 (3-6 Mar 1770).;
