"";"id";"review";"review_title";"date";"notes";"full_meta"
"NA";"1800A001";"1800A001_1";"Critical Review";" 2nd ser. 32 (Aug 1801): 470.";"1";"Critical Review, 2nd ser. 32 (Aug 1801): 470."
"2";"1800A004";"1800A004_1";"Critical Review";" 2nd ser. 31 (Jan 1801): 116–17.";"1";"Critical Review, 2nd ser. 31 (Jan 1801): 116–17."
"3";"1800A007";"1800A007_1";"Critical Review";" 2nd ser. 28 (Apr 1800): 478.";"1";"Critical Review, 2nd ser. 28 (Apr 1800): 478."
"4";"1800A008";"1800A008_1";"Critical Review";" 2nd ser. 32 (May 1801): 107-08.";"1";"Critical Review, 2nd ser. 32 (May 1801): 107-08."
"5";"1800A008";"1800A008_2";"Monthly Review";" 2nd ser. 35 (July 1801): 333.";"1";"Monthly Review, 2nd ser. 35 (July 1801): 333."
"6";"1800A009";"1800A009_1";"Critical Review";" 2nd ser. 32 (Aug 1801): 469–70.";"1";"Critical Review, 2nd ser. 32 (Aug 1801): 469–70."
"7";"1800A010";"1800A010_1";"Critical Review";" 2nd ser. 30 (Oct 1800): 230–31.";"1";"Critical Review, 2nd ser. 30 (Oct 1800): 230–31."
"8";"1800A011";"1800A011_1";"Critical Review";" 2nd ser. 29 (Aug 1800): 471.";"1";"Critical Review, 2nd ser. 29 (Aug 1800): 471."
"9";"1800A011";"1800A011_2";"Monthly Review";" 2nd ser. 35 (Aug 1801): 429–30.";"1";"Monthly Review, 2nd ser. 35 (Aug 1801): 429–30."
"10";"1800A013";"1800A013_1";"Critical Review";" 2nd ser. 31 (Jan 1801): 116.";"1";"Critical Review, 2nd ser. 31 (Jan 1801): 116."
"11";"1800A014";"1800A014_1";"Critical Review";" 2nd ser. 31 (Jan 1801): 114–15.";"1";"Critical Review, 2nd ser. 31 (Jan 1801): 114–15."
"12";"1800A015";"1800A015_1";"Critical Review";" 2nd ser. 31 (Apr 1801): 475.";"1";"Critical Review, 2nd ser. 31 (Apr 1801): 475."
"13";"1800A016";"1800A016_1";"Critical Review";" 2nd ser. 30 (Sept 1800): 116.";"1";"Critical Review, 2nd ser. 30 (Sept 1800): 116."
"14";"1800A018";"1800A018_1";"Critical Review";" 3rd ser. 22 (Apr 1811): 417–30.";"1";"Critical Review, 3rd ser. 22 (Apr 1811): 417–30."
"15";"1800A019";"1800A019_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 353–54.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 353–54."
"16";"1800A019";"1800A019_2";"Monthly Review";" 35 (July 1801): 332.";"1";"Monthly Review, 35 (July 1801): 332."
"17";"1800A020";"1800A020_1";"Critical Review";" 2nd ser. 32 (May 1801): 119–20.";"1";"Critical Review, 2nd ser. 32 (May 1801): 119–20."
"18";"1800A020";"1800A020_2";"Monthly Review";" 33 (Sept 1800): 111–12.";"1";"Monthly Review, 33 (Sept 1800): 111–12."
"19";"1800A022";"1800A022_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 355–56.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 355–56."
"20";"1800A025";"1800A025_1";"Critical Review";" 2nd ser. 29 (May 1800): 115.";"1";"Critical Review, 2nd ser. 29 (May 1800): 115."
"21";"1800A026";"1800A026_1";"Critical Review";" 2nd ser. 31 (Feb 1801): 235–36.";"1";"Critical Review, 2nd ser. 31 (Feb 1801): 235–36."
"22";"1800A027";"1800A027_1";"Monthly Review";" 33 (Oct 1800): 224.";"1";"Monthly Review, 33 (Oct 1800): 224."
"23";"1800A029";"1800A029_1";"Monthly Review";" 2nd ser. 32 (May 1800): 91–92.";"1";"Monthly Review, 2nd ser. 32 (May 1800): 91–92."
"24";"1800A034";"1800A034_1";"Critical Review";" 2nd ser. 32 (May 1801): 107.";"1";"Critical Review, 2nd ser. 32 (May 1801): 107."
"25";"1800A036";"1800A036_1";"Monthly Review";" 35 (July 1801): 333.";"1";"Monthly Review, 35 (July 1801): 333."
"26";"1800A037";"1800A037_1";"Critical Review";" 2nd ser. 28 (Apr 1800): 477–78.";"1";"Critical Review, 2nd ser. 28 (Apr 1800): 477–78."
"27";"1800A038";"1800A038_1";"Critical Review";" 2nd ser. 29 (July 1800): 311–13.";"1";"Critical Review, 2nd ser. 29 (July 1800): 311–13."
"28";"1800A038";"1800A038_2";"Monthly Review";" 2nd ser. 34 (Apr 1801): 413–16.";"1";"Monthly Review, 2nd ser. 34 (Apr 1801): 413–16."
"29";"1800A039";"1800A039_1";"Critical Review";" 2nd ser. 32 (June 1801): 231.";"1";"Critical Review, 2nd ser. 32 (June 1801): 231."
"30";"1800A040";"1800A040_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 354–55.";"0";"Critical Review, 2nd ser. 31 (Mar 1801): 354–55."
"31";"1800A040";"1800A040_2";"Critical Review";" and speak our thoughts upon the subject.";"1";"Critical Reviewers, set aside a resolution so determinately bent on writing? We have not the vanity to expect such a power: but yet we will be bold, and speak our thoughts upon the subject."
