;Unnamed: 0_x;id;review;review_title;date_x;notes_x;full_meta;Unnamed: 0_y;date_y;author;gender;title;publication;format;cat;notes_y;further_eds
0;;1800A001;1800A001_1;Critical Review; 2nd ser. 32 (Aug 1801): 470.;1;Critical Review, 2nd ser. 32 (Aug 1801): 470.;1;1800.0;ANON ;Unknown.;ALPHONSO DI BORGO OR A SENTIMENTAL CORRESPONDENCE OF THE SIXTEENTH CENTURY;London:Printed for J. and T. Carpenter, Old Bond Street, 1800. ;1 vol.  (iv, 147p). 8°.;"BL 012612.df.31; EM 334: 6; EN2 1800: 1; ESTC t068057; OCLC 10009049.";Dedication to Lady Harry Parker signed 'The Author, London, June 1800'.;
1;2.0;1800A004;1800A004_1;Critical Review; 2nd ser. 31 (Jan 1801): 11617.;1;Critical Review, 2nd ser. 31 (Jan 1801): 11617.;4;1800.0;ANON ;Unknown.;HORATIO OF HOLSTEIN IN THREE VOLUMES;London:Printed for R. Dutton, Birchin-Lane, Cornhill, 1800. ;"3 vols (I 264p; II 240p; III 248p). 12°.";"Corvey; CME 3-628-47683-6; EN2 1800: 5; EM 998: 4; ESTC n001748; xOCLC.";;
2;3.0;1800A007;1800A007_1;Critical Review; 2nd ser. 28 (Apr 1800): 478.;1;Critical Review, 2nd ser. 28 (Apr 1800): 478.;7;1800.0;ANON ;Unknown.;THE LORD OF HARDIVYLE AN HISTORICAL LEGEND OF THE FOURTEENTH CENTURY;London:Printed for W. Treppass, No. 31, St. Martin's-Le-Grand. J. Rider, Printer, Little-Britain, 1800. ;1 vol.  (174p). 12°.;"Corvey; CME 3-628-48113-9; EN2 1800: 8; xESTC; xOCLC.";;
3;4.0;1800A008;1800A008_1;Critical Review; 2nd ser. 32 (May 1801): 107-08.;1;Critical Review, 2nd ser. 32 (May 1801): 107-08.;8;1800.0;ANON ;Unknown.;MIDSUMMER EVE OR THE COUNTRY WAKE A TALE OF THE SIXTEENTH CENTURY IN TWO VOLUMES;"Newcastle upon Tyne:Printed for the Author by Edward Walker, Pilgrim-Street; and sold by Joseph Mawman, Poultry, London, 1800. ";"2 vols (I 157p; II 179p). 12°.";"Corvey; CME 3-628-48129-5; ECB 383; EN2 1800: 9; xESTC; xOCLC.";ECB dates Jan 1801, with Mawman as publisher.;French trans., 1801 [as La Soirée d'été, spuriously attributed to M. G. Lewis (MLC)].
4;5.0;1800A008;1800A008_2;Monthly Review; 2nd ser. 35 (July 1801): 333.;1;Monthly Review, 2nd ser. 35 (July 1801): 333.;8;1800.0;ANON ;Unknown.;MIDSUMMER EVE OR THE COUNTRY WAKE A TALE OF THE SIXTEENTH CENTURY IN TWO VOLUMES;"Newcastle upon Tyne:Printed for the Author by Edward Walker, Pilgrim-Street; and sold by Joseph Mawman, Poultry, London, 1800. ";"2 vols (I 157p; II 179p). 12°.";"Corvey; CME 3-628-48129-5; ECB 383; EN2 1800: 9; xESTC; xOCLC.";ECB dates Jan 1801, with Mawman as publisher.;French trans., 1801 [as La Soirée d'été, spuriously attributed to M. G. Lewis (MLC)].
5;6.0;1800A009;1800A009_1;Critical Review; 2nd ser. 32 (Aug 1801): 46970.;1;Critical Review, 2nd ser. 32 (Aug 1801): 46970.;9;1800.0;ANON ;Unknown.;THE MYSTERIOUS PENITENT OR THE NORMAN CHATEAU A ROMANCE;"Winchester:Printed and sold by Ja. Robbins; sold also by Crosby and Letterman, Stationer's-Court, Ludgate Hill, London, 1800. ";"2 vols (I 227p; II 165p). 12°.";"Corvey; CME 3-628-48180-5; ECB 403; EM 1289: 5; EN2 1800: 10; ESTC n010244; xOCLC.";ECB dates Mar 1801, and gives Crosby as publisher.;"Dublin 1801 (NUC); New York (from 3rd London edn) 1834 (OCLC)."
6;7.0;1800A010;1800A010_1;Critical Review; 2nd ser. 30 (Oct 1800): 23031.;1;Critical Review, 2nd ser. 30 (Oct 1800): 23031.;10;1800.0;ANON ;Unknown.;THE NEIGHBOURHOOD A TALE IN TWO VOLUMES;London:Printed for A. and J. Black, and H. Parry, Leadenhall-Street, 1800. ;"2 vols (I iv, 234p; II iv, 263p). 12°.";"BL C.175.n.19; EN2 1800: 11; ESTC t131306; OCLC 43882730.";;
7;8.0;1800A011;1800A011_1;Critical Review; 2nd ser. 29 (Aug 1800): 471.;1;Critical Review, 2nd ser. 29 (Aug 1800): 471.;11;1800.0;ANON ;Unknown.;THE PICTURE OF THE AGE A NOVEL IN TWO VOLUMES;London:Printed for H. D. Symonds, Paternoster-Row, 1800. ;"2 vols (I xiii, 205p; II 181p). 8°.";"Corvey; CME 3-628-48439-1; EN2 1800: 12; ESTC n061593; OCLC 33014413.";CR indicates a translation from the French, but no French original discovered. Printer's mark (in square brackets) after imprint date reads: 'T. Davison, Lombard-Street, Fleet-Street';
8;9.0;1800A011;1800A011_2;Monthly Review; 2nd ser. 35 (Aug 1801): 42930.;1;Monthly Review, 2nd ser. 35 (Aug 1801): 42930.;11;1800.0;ANON ;Unknown.;THE PICTURE OF THE AGE A NOVEL IN TWO VOLUMES;London:Printed for H. D. Symonds, Paternoster-Row, 1800. ;"2 vols (I xiii, 205p; II 181p). 8°.";"Corvey; CME 3-628-48439-1; EN2 1800: 12; ESTC n061593; OCLC 33014413.";CR indicates a translation from the French, but no French original discovered. Printer's mark (in square brackets) after imprint date reads: 'T. Davison, Lombard-Street, Fleet-Street';
9;10.0;1800A013;1800A013_1;Critical Review; 2nd ser. 31 (Jan 1801): 116.;1;Critical Review, 2nd ser. 31 (Jan 1801): 116.;13;1800.0;ANON ;Female.;A SHORT STORY INTERSPERSED WITH POETRY BY A YOUNG LADY IN TWO VOLUMES;"London:Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis, West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800. ";"2 vols (I vii, 201p; II 204p). 12°.";"Corvey; CME 3-628-48689-0; EM 170: 4; EN2 1800: 15; ESTC t066394; OCLC 48154945.";;
10;11.0;1800A014;1800A014_1;Critical Review; 2nd ser. 31 (Jan 1801): 11415.;1;Critical Review, 2nd ser. 31 (Jan 1801): 11415.;14;1800.0;ANON ;Unknown.;THE SPIRIT OF TURRETVILLE OR THE MYSTERIOUS RESEMBLANCE A ROMANCE OF THE TWELFTH CENTURY IN TWO VOLUMES;"London:Printed by J. D. Dewick, 20, Aldersgate Street; for R. Dutton, 10, Birchin Lane, Cornhill, 1800. ";"2 vols (I iv, 200p; II 223p). 12°.";"Corvey; CME 3-628-48800-1; EM 131: 4; EN2 1800: 16; ESTC t066395; OCLC 38964019.";'Advertisement', regarding subject of novel, states: 'The Proprietor of an extensive circulating library informed him [the author], that he could not keep a ghost or a spirit at home' (p. [iii]).;German trans., 1834?
11;12.0;1800A015;1800A015_1;Critical Review; 2nd ser. 31 (Apr 1801): 475.;1;Critical Review, 2nd ser. 31 (Apr 1801): 475.;15;1800.0;ANON ;Female.;TALES OF TRUTH BY A LADY UNDER THE PATRONAGE OF THE DUCHESS OF YORK IN FOUR VOLUMES;"London:Printed by T. Plummer, Seething-Lane; for R. Dutton, No. 10, Birchin-Lane, Cornhill, 1800. ";"4 vols (I 153p; II 179p; III 170p; IV 168p). 8°.";"Corvey; CME 3-628-48874-5; EM 1279: 10; EN2 1800: 17; ESTC n013589; xOCLC.";Dedication to the Duchess of York signed 'E. H.'. Main text preceded by 2 poems, 'Sonnet to Gratitude' and 'Lines Addressed to her R.H. the Duchess of York'.;
12;13.0;1800A016;1800A016_1;Critical Review; 2nd ser. 30 (Sept 1800): 116.;1;Critical Review, 2nd ser. 30 (Sept 1800): 116.;16;1800.0;Robert BISSET ;Male.;DOUGLAS OR THE HIGHLANDER A NOVEL IN FOUR VOLUMES BY ROBERT BISSET LLD AUTHOR OF THE LIFE OF BURKE C;"London:Printed at the Anti-Jacobin Press, by T. Crowder, Temple Lane, Whitefriars; and sold by C. Chapple, Pall Mall; T. Hurst, Paternoster Row; and J. and E. Kerby, Bond Street, 1800. ";"4 vols (I vi, xxviii, 323p; II v, 300p; III viii, 315p; IV xii, 382p). 12°.";"Corvey; EM 240: 1; EN2 1800: 18; ESTC t068561; OCLC 13276143.";Dedication to 'the most noble George, Marquis of Huntley', dated Sloane Terrace, 1 Feb 1800.;Dublin 1800 (NUC).
13;14.0;1800A018;1800A018_1;Critical Review; 3rd ser. 22 (Apr 1811): 41730.;1;Critical Review, 3rd ser. 22 (Apr 1811): 41730.;18;1800.0;Charles Brockden BROWN ;Male.;ORMOND OR THE SECRET WITNESS BY THE AUTHOR OF WIELAND ARTHUR MERVYN C C;London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ;1 vol.  (iv, 338p). 12°.;"Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783.";Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck).;"1811 (NSTC); 1822 (OCLC); 1839 (NSTC); German trans., 1802 (ascribed to William Godwin)."
14;15.0;1800A019;1800A019_1;Critical Review; 2nd ser. 31 (Mar 1801): 35354.;1;Critical Review, 2nd ser. 31 (Mar 1801): 35354.;19;1800.0;Mrs BURKE ;Female.;ELLIOTT OR VICISSITUDES OF EARLY LIFE IN TWO VOLUMES BY A LADY;"London:Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800. ";"2 vols (I viii, 338p; II 295p). 12°.";"Corvey; CME 3-628-47524-4; EN2 1800: 20; ESTC t210673; OCLC 13611552.";'A List of Subscribers' Names', vol. 1, pp. [i]<U+0096>viii.;
15;16.0;1800A019;1800A019_2;Monthly Review; 35 (July 1801): 332.;1;Monthly Review, 35 (July 1801): 332.;19;1800.0;Mrs BURKE ;Female.;ELLIOTT OR VICISSITUDES OF EARLY LIFE IN TWO VOLUMES BY A LADY;"London:Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800. ";"2 vols (I viii, 338p; II 295p). 12°.";"Corvey; CME 3-628-47524-4; EN2 1800: 20; ESTC t210673; OCLC 13611552.";'A List of Subscribers' Names', vol. 1, pp. [i]<U+0096>viii.;
16;17.0;1800A020;1800A020_1;Critical Review; 2nd ser. 32 (May 1801): 11920.;1;Critical Review, 2nd ser. 32 (May 1801): 11920.;20;1800.0;;Male.;ZIMAO THE AFRICAN TRANSLATED BY THE REV WEEDEN BUTLER MA OF SIDNEY SUSSEX COLLEGE CAMBRIDGE;"London:Printed for Vernor and Hood, in the Poultry; by S. Rousseau, Wood Street, Spa Fields, 1800. ";1 vol.  (xi, 105p). 8°.;"BL 837.b.35(1); EN2 1800: 21; ESTC t075674; OCLC 6317807.";"ESTC states this appears not to be a translation. Small engraving on t.p. Preface addressed to 'Courteous Reader' and signed W. B., Cheynè Walk, Chelsea. Dedication 'to A Lady eminent for her private qualities and her public station', pp. [v]<U+0096>x; six-line verse quotation from Darwin, p. xi. Text ends on p. 71 and the rest is an appendix concerning slavery.";"Dublin 1800 (ESTC); 2nd edn 1807 (NSTC)."
